0.2	0	-0.1
-0.1	9.5	0.1
0.2	-0.9	0.4
0.1	-4.9	0.3
0.3	8.7	-0.2
0	-7.7	-0.2
0.1	4.1	-0.1
0.2	9.9	0.4
0.2	1.8	0.4
0.1	0	-0.2
-0.1	-1.8	-0.2
1.3	-6.8	0.2
0	-0.4	0
0.2	15.9	-0.1
0.4	-9.7	0.7
0.3	6.6	0.5
0.3	2.5	-0.3
0.2	-5.4	0
0.3	2.1	0.3
0.3	8.6	0.2
0.3	4.3	0.1
0.3	-2.5	0
0.2	-5.9	-0.2
1.1	-0.1	0.4
0.4	-2.2	0.3
0.4	14.6	0.5
0.3	-8.3	0.5
0.2	2.6	0.5
0.6	0.1	0
0.3	-1.1	-0.3
0.4	0.1	-0.4
0.2	5.6	0.8
0.5	9.7	0.6
0.3	-4.7	0.7
0.1	-8.3	0.3
2	4.4	0.7
0.4	1.5	0.4
0.2	0.7	0.4
0.1	4.1	0.4
0	-9.1	0.8
0	5.2	0.2
0.2	-2.7	0
0	-8.8	-0.4
0.1	16.6	0.3
0	1.9	0.4
-0.2	-13.1	0.2
-0.6	-3.1	-0.1
0.4	-6.3	0.5
-0.4	2.4	0.9
-0.5	15.6	0.7
-0.3	-6.9	0.7
-0.3	-1.8	0.5
-0.2	6	0.2
-0.1	-2.6	0.1
-0.1	-4.4	-0.4
-0.1	15	0
0	1.9	0.1
0	-3.2	0.3
-0.2	-5.4	0
0.9	-5.4	0.6
-0.2	3.1	0.2
0	19.1	0.3
0.3	-9.2	0.4
0.2	1.6	0.3
0.3	6.8	0.3
0.3	-5.9	-0.2
0	-1.8	-0.4
0.2	13.1	0.6
0.2	-1.6	0.5
0.1	-1.4	0.1
0	-4.2	0.4
2.3	-5.7	1.2
0.2	3.3	0.2
-0.1	14.3	0.9
0.1	-9.2	0.5
0	2.4	0.6
0.2	1.1	-0.4
0	-5.8	-0.3
-0.1	4.4	0
-0.1	11	0.1
-0.1	-1.9	0.7
0.1	0.2	0.7
-0.2	-4	0.4
0.6	5.5	0.1
-0.2	-2.8	0
-0.2	9.3	0.2
-0.2	-2.2	0.4
0	-0.7	-0.1
0.2	2.6	0
0	1.5	0.3
0.1	-4.4	-0.3
0	9.6	0.1
0.1	6.1	0.2
0	-6.2	-0.2
-0.2	-9.7	0.1
